,39001,nn_m,nn_std,orig
1997-02-03,3.53,4.7445890620284334,0.17725250744975535,3.53
1997-02-04,4.89,5.471160320931044,0.4851204916226883,4.89
1997-02-05,5.93,7.46463347166703,0.7295004634579886,5.93
1997-02-06,5.94,6.896734676998179,0.267225239217305,5.94
1997-02-07,5.59,6.072965999264648,0.6104983722825141,5.59
1997-02-08,4.98,5.89613521139415,0.3386235824312998,4.98
1997-02-09,5.0,5.6112654385427225,0.2193563981233052,5.0
1997-02-10,7.32,9.00654068168092,1.4013849072728748,7.32
1997-02-11,12.5,15.696562962039485,1.0436576841657104,12.5
1997-02-12,10.3,19.821696931367182,1.5366891460156469,10.3
1997-02-13,32.8,27.69499051219116,2.6985647762068052,32.8
1997-02-14,33.3,26.003046757799645,2.694716817594946,33.3
1997-02-15,20.1,19.899598292571586,1.231079227169291,20.1
1997-02-16,11.2,18.493822591038455,0.8544537724406575,11.2
1997-02-17,15.1,24.180545572550017,1.6364544363883968,15.1
1997-02-18,80.5,70.5828046026393,2.2325313072256625,80.5
1997-02-19,73.9,84.32445273642931,1.8321136586609872,73.9
1997-02-20,93.0,64.91367528930381,3.9045573502512343,93.0
1997-02-21,57.2,77.4875607396453,1.4055222691057605,57.2
1997-02-22,51.2,45.11204885283543,1.42884629288161,51.2
1997-02-23,34.1,43.454316233965365,0.7987661028617702,34.1
1997-02-24,59.2,63.63765560608561,2.2107540264400374,59.2
1997-03-01,61.5,74.1026145631389,1.496441731330843,61.5
1997-03-02,53.0,50.66699336318099,0.9808929606385878,53.0
1997-03-03,46.6,48.34906258951862,0.41064959640048737,46.6
1997-03-04,67.1,65.72794081253224,0.7624571711952313,67.1
1997-03-05,71.4,80.59583988998709,1.3474872957173216,71.4
1997-03-06,51.1,54.695715431015174,1.3133226224275605,51.1
1997-03-07,48.1,38.27531955137507,1.2027394973197512,48.1
1997-03-08,36.0,41.43986658665075,0.8084411512841048,36.0
1997-03-09,37.7,33.983602508825605,0.7804366187729324,37.7
1997-03-10,36.4,34.22018899381985,0.6574267473242319,36.4
1997-03-11,32.9,33.541106180572584,0.4001550036922651,32.9
1997-03-12,29.7,30.86542770395017,0.40586682898469617,29.7
1997-03-13,19.8,28.16620315267809,0.4841984446670661,19.8
1997-03-14,27.7,19.545494507362374,0.6115066858628806,27.7
1997-03-15,24.4,24.35912593926035,0.4826877503476266,24.4
1997-03-16,21.1,23.20472174355496,0.4544006612916118,21.1
1997-03-17,20.5,20.020535413518054,0.37474438696241935,20.5
1997-03-18,16.3,19.242971632520614,0.3499844840952277,16.3
1997-03-19,13.7,16.109157876135374,0.3894066229066596,13.7
1997-03-20,12.3,13.097372644376804,0.3653508256009407,12.3
1997-03-21,10.4,11.361549011162825,0.3461650374140985,10.4
1997-03-22,5.58,10.038829645796962,0.29737709621318986,5.58
1997-03-23,9.46,6.751396553813177,0.2860730246754623,9.46
1997-03-24,13.4,8.6318704215157,0.3368360100639831,13.4
1997-03-25,14.8,11.520478670088416,0.35352786733691594,14.8
1997-03-26,12.5,13.344157837787476,0.3423260710416451,12.5
1997-03-27,9.48,12.120757324803616,0.3223375737098767,9.48
1997-03-28,8.15,9.443916732561185,0.3066500949017191,8.15
1997-03-29,7.1,7.740504168617297,0.2520979010708144,7.1
1997-03-30,7.65,6.780627749094134,0.236695835413924,7.65
1997-03-31,8.51,7.295523495604103,0.2180014785946673,8.51
1997-04-01,8.63,8.092991063436415,0.21191715611045225,8.63
1997-04-02,7.94,8.188748101365428,0.2247279514082818,7.94
1997-04-03,8.01,8.037021972909496,0.22173009806616886,8.01
1997-04-04,8.23,8.1580289254755,0.21705581690218825,8.23
1997-04-05,7.07,7.535038689594227,0.2818431584023625,7.07
1997-04-06,7.83,6.8288497023116745,0.2186595168700942,7.83
1997-04-07,5.88,7.637984562735325,0.22886511538241225,5.88
1997-04-08,7.52,6.165878715718798,0.2745516262187953,7.52
