,47019,nn_m,nn_std
2003-02-22,4.95,4.720568667181595,0.05204091266238184
2003-02-23,5.22,5.3351788635885145,0.09335712176681009
2003-02-24,4.48,4.271776438534603,0.0744969174563649
2003-02-25,4.24,3.929837588018614,0.05789032691637644
2003-02-26,5.82,5.356060331660064,0.10748454167304272
2003-02-27,11.6,11.08103823827353,0.18888217151034362
2003-02-28,33.0,33.02925837325283,0.7234296160064334
2003-03-01,16.7,17.78568605116121,0.7311447322111247
2003-03-02,12.5,13.385786644151237,0.4780208194719173
2003-03-03,24.7,22.287423914795504,0.48117961563009576
2003-03-04,21.8,21.340391852691823,0.2565313107482949
2003-03-05,35.1,36.293617696744185,0.36615715695541085
2003-03-06,18.0,17.547711042114216,0.32312640058527087
2003-03-07,21.4,21.130162085538014,0.5337901863271223
2003-03-08,14.2,13.747854796216867,0.25015027374471427
2003-03-09,12.1,11.862415048705365,0.16212322630894052
2003-03-10,10.7,10.380264053415871,0.13586849675773446
2003-03-11,9.34,8.946772016981015,0.11804691232706856
2003-03-12,7.7,7.58731889535697,0.09901201269568018
2003-03-13,6.81,6.648775437847827,0.07592943822293499
2003-03-14,6.16,5.931365296058066,0.06027971762239531
2003-03-15,5.46,5.262130853982432,0.06466540249265428
2003-03-16,4.97,4.834827280464742,0.06149480458370131
2003-03-17,4.63,4.4598715407779785,0.05620978318095965
2003-03-18,4.33,4.156283112955133,0.05362378794531179
2003-03-19,4.07,3.9517753802731495,0.05478194470005666
2003-03-20,3.85,3.72312311008329,0.05323429063857741
2003-03-21,3.69,3.5516547994246688,0.046171546730734626
2003-03-22,3.48,3.3550846245042547,0.043925201053709936
2003-03-23,3.28,3.155715690685665,0.048435293672372086
2003-03-24,3.11,2.9815795601058124,0.03447572616305839
2003-03-25,2.99,2.8697848855322543,0.032931555540218684
2003-03-26,2.9,2.7825061524343,0.04440041199755296
2003-03-27,2.79,2.66591209524712,0.03990558300562821
2003-03-28,2.67,2.5908738602920747,0.03380669247571952
2003-03-29,2.57,2.5254642636373044,0.033432254902880196
2003-03-30,2.45,2.3169816024099106,0.031082873037154245
2003-03-31,2.33,2.18502006871372,0.02953322595908801
2003-04-01,2.56,2.484298419890398,0.034604966744111565
2003-04-02,2.39,2.325516708121021,0.034025777866055394
2003-04-03,2.22,2.1199463191306123,0.03915248294465846
2003-04-04,2.12,2.017861188911814,0.04143482241493088
2003-04-05,2.05,1.941076823657395,0.032990496303972265
2003-04-06,2.0,1.8561918317724968,0.050784852425315274
2003-04-07,1.95,1.7412394153384108,0.04828606067581058
2003-04-08,1.88,1.657972979727918,0.03355434001439246
2003-04-09,1.85,1.6482701032552753,0.03499208580656539
2003-04-10,1.83,1.6454779047787975,0.03627814505528438
2003-04-11,1.79,1.608044337006254,0.03985799930953944
2003-04-12,1.76,1.562439251583388,0.040408531817958136
2003-04-13,1.74,1.552713148727578,0.037318033976977895
2003-04-14,1.71,1.4964111958865365,0.03753566418768261
2003-04-15,1.62,1.4146004697294607,0.03685639022983114
2003-04-16,1.57,1.3943691500713775,0.03841843103733271
2003-04-17,1.5,1.337319893771576,0.03859562650925363
2003-04-18,1.45,1.2683240724541127,0.038432301590021985
2003-04-19,1.4,1.2666955481578706,0.03954798763175604
2003-04-20,1.42,1.2754169231244348,0.0459217821582557
2003-04-21,1.43,1.3006436789854992,0.04609191547664896
2003-04-22,1.39,1.2643989535241178,0.045758855178607366
2003-04-23,1.39,1.2213250638206798,0.04290840538777926
2003-04-24,1.58,1.4862755665120468,0.05134265453558277
2003-04-25,1.81,1.7500709082292318,0.06980233142478724
2003-04-26,1.87,1.6861076826531285,0.055344096844847236
2003-04-27,2.14,1.9003928736029752,0.04237120582720164
2003-04-28,3.03,3.5919339181078467,0.17292323905743795
2003-04-29,2.05,1.945240729010687,0.20881631299939815
2003-04-30,9.29,7.945051292997122,0.7308533153317902
2003-05-01,8.25,6.936231035090711,0.4964057056219217
2003-05-02,13.8,14.032324839718276,0.3611655738430736
2003-05-03,6.26,6.062669801433285,0.3081359747497624
2003-05-04,4.43,3.931462552424544,0.3360677600202185
2003-05-05,3.53,3.180145080135092,0.19516484543343465
2003-05-06,2.88,2.5240954995491283,0.11729760185621803
2003-05-07,2.65,2.3704410717123285,0.09129092712681734
2003-05-08,2.49,2.2000863167770537,0.06783509624467017
2003-05-09,2.27,2.0276055407994433,0.06959235505595215
2003-05-10,2.19,2.0591619142075204,0.07297819312545463
2003-05-11,2.11,1.952834400130586,0.07041554889785692
2003-05-12,2.06,2.166142191307243,0.059043644953496094
2003-05-13,1.92,1.910173286338606,0.06735794073281953
2003-05-14,1.66,1.5945710826791257,0.07243911060770643
2003-05-15,1.86,1.8501106526130506,0.0515033147842398
2003-05-16,3.3,3.243206769637857,0.05016049483890145
