,33013,orig,nn_m,nn_std
1953-12-29,0.524,0.524,0.5452431529170253,0.015767525993685187
1953-12-30,0.48100000000000004,0.48100000000000004,0.5013813661849693,0.010554491161285524
1953-12-31,0.48100000000000004,0.48100000000000004,0.49296696704830206,0.010094129096188342
1954-01-01,0.48100000000000004,0.48100000000000004,0.49746879584627673,0.009562984229880582
1954-01-02,0.48100000000000004,0.48100000000000004,0.48429163230603167,0.008066994994021312
1954-01-03,0.736,0.736,0.5188332535535377,0.010428962449838444
1954-01-04,0.736,0.736,0.7188358274562878,0.019029164704559287
1954-01-05,0.736,0.736,0.7648963198622972,0.026098067400707206
1954-01-06,0.7929999999999999,0.7929999999999999,0.7146649412216197,0.015805998796564632
1954-01-07,0.85,0.85,0.9164838455084122,0.027586428972971647
1954-01-08,0.9059999999999999,0.9059999999999999,0.9643639667422785,0.024254351778863318
1954-01-09,0.9059999999999999,0.9059999999999999,0.912629039301928,0.018522663492637
1954-01-10,0.9059999999999999,0.9059999999999999,0.9228682546170621,0.018828890172922517
1954-01-11,0.9059999999999999,0.9059999999999999,0.8943905855689227,0.022520247888141994
1954-01-12,0.963,0.963,0.9153489570481573,0.0199583745972815
1954-01-13,1.02,1.02,1.0026435009630992,0.024481122509297914
1954-01-14,1.1,1.1,1.2113827327996518,0.042310140076857745
1954-01-15,1.1,1.1,1.1459302676035312,0.04400285263629085
1954-01-16,1.1,1.1,0.9488494362630736,0.03811349655952205
1954-01-17,0.963,0.963,0.8585691231550161,0.04559394325451012
1954-01-18,0.963,0.963,0.8433028847705596,0.0524240568513086
1954-01-19,0.963,0.963,0.9004827141088462,0.04031441813991017
1954-01-20,0.963,0.963,0.9226526768790737,0.030363474303045927
1954-01-21,0.9059999999999999,0.9059999999999999,0.9075122794634191,0.03286213322882449
1954-01-22,0.9059999999999999,0.9059999999999999,0.8789740186052579,0.024259987521355265
1954-01-23,0.9059999999999999,0.9059999999999999,0.8953265555545425,0.023019683932409038
1954-01-24,0.85,0.85,0.8703915293531724,0.020917217116802413
1954-01-25,0.85,0.85,0.8263766948578374,0.018748265057458042
1954-01-26,0.7929999999999999,0.7929999999999999,0.8186366924661704,0.015048201513839878
1954-01-27,0.7929999999999999,0.7929999999999999,0.7670507618812158,0.013989154373910542
1954-01-28,0.736,0.736,0.7280967263657233,0.017316814894539772
1954-01-29,0.736,0.736,0.6991455939738193,0.014897095329050003
1954-01-30,0.736,0.736,0.7310251428760726,0.015670634611423942
1954-01-31,0.623,0.623,0.47901488777612705,0.02961101127482758
1954-02-01,0.623,0.623,0.5403274363750015,0.025441749212769517
1954-02-02,0.623,0.623,0.559991866270682,0.023408441511581137
1954-02-03,0.623,0.623,0.5932616502028968,0.0197928708401916
1954-02-04,0.623,0.623,0.5943998314809518,0.01965687350653052
1954-02-05,0.623,0.623,0.6188223478205049,0.0163398515465542
1954-02-06,0.623,0.623,0.6157919326729567,0.017121531048175955
1954-02-07,0.623,0.623,0.6223692996633055,0.017258642738638703
1954-02-08,0.623,0.623,0.6372290360577637,0.017824952106959772
1954-02-09,0.623,0.623,0.6070093852490376,0.019774302111653295
1954-02-10,0.736,0.736,0.7218750683992302,0.02954580248492902
1954-02-11,0.7929999999999999,0.7929999999999999,0.9560361702129597,0.030682270146164415
1954-02-12,1.59,1.59,1.2927800473260285,0.04650955259598413
1954-02-13,1.59,1.59,1.9141836020047536,0.08001724579342248
1954-02-14,2.72,2.72,2.4219034034995732,0.10354993733729798
1954-02-15,2.72,2.72,2.5915208291452156,0.13742511342880634
1954-02-16,2.1,2.1,1.7688417814003552,0.10108745184424747
1954-02-17,1.5,1.5,1.6759817229040623,0.11515982856010662
1954-02-18,1.27,1.27,1.3183217399257399,0.0635333946463152
1954-02-19,0.963,0.963,1.0393051002471978,0.07863390426282366
1954-02-20,0.963,0.963,1.2833057942324368,0.10490307538433537
1954-02-21,2.72,2.72,2.0082897367282446,0.14460546356850587
1954-02-22,2.72,2.72,2.8108862905920557,0.1047095628994494
1954-02-23,1.78,1.78,1.805689923419107,0.09596115514453062
1954-02-24,1.36,1.36,1.07996000735239,0.0902925509630494
1954-02-25,1.27,1.27,1.2182999878333254,0.09995440231331795
1954-02-26,1.36,1.36,1.221126177292064,0.05092837911140755
1954-02-27,1.36,1.36,1.3898212993265877,0.056874776468437825
1954-02-28,0.9059999999999999,0.9059999999999999,0.8965630956831455,0.04783986542972549
1954-03-01,0.9059999999999999,0.9059999999999999,0.7885096185970736,0.047765203099839684
1954-03-02,0.963,0.963,0.7778508119689123,0.038151332300572986
1954-03-03,0.963,0.963,0.9540009076518015,0.03176405887125334
1954-03-04,1.27,1.27,1.1216438527158936,0.04202730772425674
1954-03-05,2.55,2.55,2.940112614352898,0.0798495452775219
1954-03-06,2.55,2.55,2.7605370126874047,0.0740094118061665
1954-03-07,1.87,1.87,2.014208322344567,0.06613233009822975
1954-03-08,1.87,1.87,1.937561888402055,0.07558117836710838
1954-03-09,1.78,1.78,2.010164618864381,0.0830733002160778
1954-03-10,1.73,1.73,1.350663140511678,0.055342046210373606
1954-03-11,1.36,1.36,1.2061184686278004,0.07483724264789038
1954-03-12,1.1,1.1,1.0251395552129612,0.07347486190550492
1954-03-13,1.1,1.1,0.9668912611109659,0.05840773570948578
1954-03-14,0.963,0.963,0.8570321569777061,0.058274159252329545
1954-03-15,0.963,0.963,0.8672316203259203,0.028846620950601566
1954-03-16,0.963,0.963,0.8935932936290181,0.03270697359259483
1954-03-17,0.9059999999999999,0.9059999999999999,0.8903672003574059,0.023596447836426164
1954-03-18,0.85,0.85,0.8903281629690462,0.021166636349880356
1954-03-19,0.85,0.85,0.7807152703759815,0.016244715671105418
1954-03-20,0.85,0.85,0.861861249827798,0.018129559529278215
