,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1992-02-29,0.23865832,0.24050003,0.23403169,0.23703687,0.23192386,0.22823028,0.24227965,0.23469594,0.23437965,0.23043145,0.23209392,0.21786205,0.23118794,0.25956878,0.22268611,0.23112057,0.23686859,0.23098132,0.24685743,0.22554356
1992-03-01,0.25246352,0.24716114,0.25108364,0.2491196,0.24004261,0.2368211,0.24976075,0.23818079,0.24061665,0.24020281,0.24474108,0.23118435,0.2376053,0.26385608,0.23483711,0.2501998,0.24382323,0.23745736,0.2555648,0.23396485
1992-03-02,0.2523989,0.2331965,0.22481261,0.24176823,0.23241852,0.24800494,0.25682044,0.24301833,0.24512142,0.22616863,0.2451141,0.22012357,0.2515842,0.26475698,0.22900166,0.21974687,0.24887952,0.2582713,0.2591787,0.23090121
1992-03-03,0.2354738,0.22304904,0.2164005,0.22679041,0.22497481,0.23230533,0.25212216,0.23240688,0.23268652,0.22318792,0.22296187,0.2069426,0.23924458,0.24713725,0.21831897,0.21830262,0.23442224,0.24033743,0.2433435,0.21183364
1992-03-04,0.22920993,0.21937035,0.22528586,0.21573767,0.22056285,0.21897107,0.24233565,0.21891776,0.2205294,0.21611941,0.20713371,0.20018709,0.23065609,0.23751597,0.2086035,0.21303844,0.22763214,0.22504643,0.2328857,0.20395778
1992-03-05,0.22967725,0.22170305,0.22012024,0.2283692,0.21081443,0.22857463,0.23004968,0.21792081,0.22412331,0.21171606,0.21274857,0.19975066,0.22352552,0.24746734,0.21022159,0.21200407,0.22241706,0.225066,0.23500556,0.21966065
1992-03-06,0.21923687,0.218779,0.22298384,0.21983105,0.2100056,0.21872614,0.22930053,0.22413027,0.22517444,0.21507618,0.21355778,0.20446645,0.21951428,0.24432446,0.21237312,0.22050934,0.22016671,0.2280485,0.23605514,0.2162052
1992-03-07,0.21625228,0.23352039,0.24882533,0.22250031,0.20035434,0.20859092,0.23912281,0.22226745,0.22076228,0.23339403,0.20289673,0.22209556,0.23868576,0.24631429,0.23156732,0.24542399,0.23822659,0.23526472,0.25153804,0.1996384
1992-03-08,0.22735403,0.2231999,0.22578795,0.21469443,0.2066042,0.20457849,0.2362113,0.22362253,0.2224933,0.21238014,0.2096995,0.20346332,0.23651606,0.24422234,0.20707974,0.2223067,0.22774726,0.22244945,0.22921953,0.21046865
1992-03-09,0.22132197,0.22323401,0.21830174,0.21536264,0.19632657,0.20944276,0.23280703,0.21860468,0.2159819,0.20922007,0.20417786,0.1903811,0.233872,0.24222812,0.20495726,0.21246728,0.22468567,0.22830233,0.2309124,0.2141533
1992-03-10,0.20155244,0.208626,0.20205303,0.20845143,0.19906974,0.20253426,0.22368762,0.20497015,0.2030333,0.19534701,0.20583099,0.18989344,0.20876995,0.22716378,0.19694553,0.19720241,0.21033758,0.21221438,0.2186975,0.19673711
