date,54057,nn_m,nn_std
1999-12-30,420.0,420.2331288789631,2.5118093321613633
1999-12-31,383.0,388.5816689667131,1.5437460822301965
2000-01-01,355.0,351.7913723055898,1.1422597422682195
2000-01-02,312.0,299.79068143544316,1.6062034773166078
2000-01-03,268.0,265.09145434287456,1.6450648662665621
2000-01-04,243.0,250.07725444299288,1.1336655541580989
2000-01-05,221.0,219.66884408495818,1.3187906867971397
2000-01-06,208.0,211.58037918394442,1.5593166070650082
2000-01-07,191.0,186.7601573205712,2.113327809121449
2000-01-08,167.0,171.80884046988817,1.0641695738399415
2000-01-09,149.0,148.00405127729312,1.1070812038892277
2000-01-10,132.0,132.1015897826218,1.0461086732503901
2000-01-11,119.0,120.55831818507642,0.5387773771197806
2000-01-12,121.0,124.12950010409773,1.282371667324725
2000-01-13,190.0,190.06127966304555,1.38225650765952
2000-01-14,246.0,243.2361291309088,1.0944233767899496
2000-01-15,213.0,218.99573380402074,1.379386803791339
2000-01-16,164.0,164.4492899149741,1.0607532764741967
2000-01-17,135.0,132.88885348172562,0.4607138619537814
2000-01-18,117.0,119.75937815480349,0.8385014429579254
2000-01-19,108.0,106.23392742772582,0.5801776997829138
2000-01-20,105.0,99.47241591615453,0.2952055680343848
2000-01-21,111.0,102.3684055116241,0.7249574660919188
2000-01-22,111.0,108.34663404935786,0.7657368451304272
2000-01-23,107.0,107.75150548270648,0.6055527522134667
2000-01-24,96.4,101.01645758451232,0.44660312411718883
2000-01-25,83.7,86.7905244064009,0.44271692071864943
2000-01-26,71.8,75.25600388255845,0.3528465978987554
2000-01-27,67.3,64.9296365957561,0.27869886683420264
2000-01-28,65.0,64.46389461674272,0.2603033032437519
2000-01-29,64.9,66.57792150742458,0.25612308198366646
2000-01-30,108.0,111.15978656720984,0.9672638226343895
2000-01-31,151.0,151.67765052336702,0.7819783306864158
2000-02-01,148.0,146.879520698591,1.3575330911392849
2000-02-02,124.0,125.6004758273459,1.5828323639513464
2000-02-03,122.0,120.48564711987464,0.6666035035166943
2000-02-04,107.0,106.35350154556475,0.887259373945988
2000-02-05,103.0,101.43231778883228,0.6329866487291792
2000-02-06,109.0,105.94946255908748,0.8404661151928213
2000-02-07,105.0,100.9931056413852,0.7602040855062552
2000-02-08,118.0,109.55969415562438,0.8309415143119654
2000-02-09,113.0,127.68998910461599,0.8531003609360327
2000-02-10,114.0,114.79755828823347,0.8668869124936258
2000-02-11,119.0,123.08839322819074,0.6793539461789138
2000-02-12,141.0,139.97428561003622,0.632116428805441
2000-02-13,160.0,160.25265933168117,0.6933868904961148
2000-02-14,155.0,154.35812432131348,1.280220489627747
2000-02-15,134.0,136.4649551744182,0.9756908326886757
2000-02-16,135.0,133.64900080953225,0.7745230317474711
2000-02-17,138.0,139.7054421663444,1.104750619355268
2000-02-18,155.0,145.44864671471723,1.1341854331905876
2000-02-19,173.0,167.59703150472274,0.7552667063068307
2000-02-20,196.0,187.62465986670423,0.8529468967679076
2000-02-21,175.0,174.5172147839085,1.1639506607465417
2000-02-22,151.0,149.03413127919112,0.515239804061877
2000-02-23,130.0,132.20025088815942,0.6610303916981467
2000-02-24,107.0,114.10276737133292,0.782615071806226
2000-02-25,111.0,111.00949102893995,0.7337792885257072
2000-02-26,103.0,101.97610019661781,0.8969948284217432
2000-02-27,112.0,125.93570369853866,3.0777222830326485
2000-02-28,319.0,314.9444728408534,2.1426000164287142
2000-02-29,393.0,390.3906357852466,3.9528572275523297
2000-03-01,409.0,401.87194094440497,3.533041135353027
2000-03-02,347.0,357.27859950804964,2.1191731884951794
2000-03-03,297.0,302.69755086060604,1.0911011751623836
2000-03-04,326.0,314.39514481839325,2.189772607186765
2000-03-05,317.0,325.7290107101341,1.6042988208978106
2000-03-06,281.0,274.95411460763586,1.093793230577479
2000-03-07,222.0,220.9556367863005,0.8014640424533856
2000-03-08,188.0,179.6675664794485,0.9921965224770145
2000-03-09,194.0,199.53561188029707,1.2834983810266591
2000-03-10,175.0,176.09909799710246,0.9820720574950984
2000-03-11,136.0,140.71956462010652,0.8118634264386071
2000-03-12,106.0,104.6697069613976,0.814158312258863
2000-03-13,92.4,90.56737453439149,0.6646781206013659
2000-03-14,84.4,85.25862750705777,0.6737879899353613
2000-03-15,77.1,78.09042863765497,0.5452802025516432
2000-03-16,72.2,73.3939262058258,0.31857861231040185
2000-03-17,70.7,69.5998979444757,0.2150169094306395
2000-03-18,64.2,65.03727647124617,0.2691092693424256
2000-03-19,67.8,61.00356746679179,0.37439793434616925
2000-03-20,74.0,70.39431594545401,0.45342019103722764
2000-03-21,77.3,75.97914189811041,0.2794264114201964
2000-03-22,74.3,77.09624166251054,0.3210259632524908
2000-03-23,72.5,75.08407598710649,0.2672000009447713
2000-03-24,71.1,75.25905358603087,0.43414137972067346
2000-03-25,61.6,65.89689765060233,0.4668820070131904
2000-03-26,56.2,52.315792612660225,0.5644348946767346
2000-03-27,52.8,54.31446611831866,0.5169025875849292
2000-03-28,51.4,51.94096690824441,0.375764212660241
2000-03-29,49.4,50.24303144783785,0.41537085678863456
