date,0,1,2,3,4,5,6,7,8,9
2016-10-29,0.39290628,0.3254051,0.40228206,0.42662972,0.30455503,0.3821025,0.4433325,0.42774588,0.41350913,0.4366123
2016-10-30,0.38716033,0.31554535,0.3855725,0.43933138,0.2812403,0.3511852,0.4346172,0.40288863,0.42818582,0.39862102
2016-10-31,0.38746545,0.29457137,0.40525454,0.42714092,0.30188248,0.36409175,0.46061394,0.43721664,0.42311406,0.41911083
2016-11-01,0.4174731,0.3020269,0.40287524,0.40637326,0.31692114,0.389179,0.47414333,0.41221246,0.40490705,0.40421093
2016-11-02,0.38302645,0.30104223,0.36395532,0.40358707,0.28292164,0.36691707,0.43853623,0.39259276,0.39581513,0.39269042
2016-11-03,0.3193036,0.21445897,0.30740553,0.3057623,0.23319533,0.32625103,0.35847265,0.32939908,0.29918218,0.33710897
2016-11-04,0.40626606,0.33900657,0.38859588,0.40280008,0.32287827,0.4226184,0.43754065,0.4296778,0.40632188,0.46179467
2016-11-05,0.42661145,0.37971357,0.42004496,0.4732529,0.33676723,0.41088676,0.46165493,0.43302193,0.44720924,0.46039063
2016-11-06,0.37042525,0.2718713,0.390871,0.39203158,0.2816445,0.35573244,0.4263027,0.4292879,0.35156858,0.46330637
2016-11-07,0.37052938,0.25502893,0.32136184,0.37357545,0.21929553,0.306969,0.38205913,0.3581933,0.37640166,0.39036608
2016-11-08,0.69912153,0.5958824,0.8217878,0.5506363,0.61106735,0.8063607,0.73860043,0.810647,0.5585794,0.930577
2016-11-09,1.4909275,1.708845,1.2844586,1.6194121,1.4423696,1.2563852,1.6037737,1.4769366,1.5487674,1.4449207
2016-11-10,2.1574867,1.6423124,1.7518971,2.0186172,2.0634503,1.9361565,1.801558,2.2318192,2.2366674,2.0595458
2016-11-11,0.39477476,0.28811482,0.63311577,0.7565582,0.65157986,0.79492575,0.9458365,0.92506784,0.33238554,1.1542525
2016-11-12,0.93702537,1.0406634,1.1067195,0.96068347,0.84941584,0.80367815,1.1464478,1.2112272,0.90061784,0.7784972
2016-11-13,1.7894425,1.5503145,1.3490496,1.494589,1.5381391,1.1949381,1.4394785,1.6983789,1.5546533,1.2087346
2016-11-14,1.1074088,1.0464674,1.08711,1.244705,1.303796,1.1225461,0.9422421,1.2364926,0.8869252,1.266289
2016-11-15,0.65021324,0.5433359,0.8615877,0.5589533,0.62803024,0.50006694,0.54196227,0.49851736,0.19425859,0.5251669
2016-11-16,0.8262615,0.86857516,0.95571035,0.86692274,0.66224325,0.5444977,0.59468347,0.6952707,0.4405414,0.56274927
2016-11-17,0.7382798,0.8794942,0.8322441,0.82449305,0.6762159,0.68363106,0.47432542,0.63790447,0.3390807,0.6030105
2016-11-18,0.6251224,0.727003,0.7046596,0.662907,0.69309103,0.5853927,0.47162938,0.42804548,0.35662282,0.33780086
2016-11-19,1.1677089,1.3979181,1.2095268,1.2208062,1.1873938,1.3664597,1.1805598,1.4967061,0.95481795,1.5206457
2016-11-20,2.055232,2.6324608,2.1915307,2.658868,2.5210252,2.4099288,2.2913005,2.5965903,2.0067935,2.324797
2016-11-21,13.929495,17.00351,14.219659,14.263896,15.395311,14.527535,18.02001,16.749405,13.059811,12.904803
2016-11-22,20.56593,23.647242,19.124916,20.338528,19.235004,15.6237545,9.771113,18.858952,17.179281,14.307316
2016-11-23,23.597816,20.30801,21.34684,22.468304,18.718906,18.496595,21.627052,24.931017,23.67306,18.839428
2016-11-24,13.982869,12.868077,8.487729,9.198005,8.76069,8.243142,10.733859,11.009245,9.058508,10.882292
2016-11-25,3.1595442,4.3265424,3.1805325,2.2471507,-0.7040101,2.997066,6.052253,4.465151,3.4577124,2.6634488
2016-11-26,1.8041866,2.6079729,1.8996041,1.6436352,1.0048845,2.3898413,2.8311954,2.2114835,2.07212,1.7740297
2016-11-27,0.8512921,2.1081712,0.72613966,1.2790853,1.302043,0.8388243,0.5765305,1.1072102,2.075384,1.6072043
2016-11-28,1.3146334,1.7433404,1.3212378,0.99475765,1.1658283,1.0855746,1.2740728,1.0620568,1.4167953,1.6839235
2016-11-29,1.201437,1.1848425,1.3431945,1.5120167,1.3272023,1.1396443,1.3417242,0.9640352,1.2165289,1.42611
2016-11-30,1.0195655,0.87662625,0.76920724,1.0335165,0.8908169,1.1072599,1.0258399,0.76971877,0.9521889,0.86872333
2016-12-01,0.98334426,0.9471365,0.8770792,0.9665917,0.8983085,1.0635735,1.0400242,0.8165676,0.9942122,0.87662596
2016-12-02,0.9198217,0.88209003,0.8819232,0.859975,0.8788604,0.9517336,0.93813205,0.7293897,0.9708941,0.83620113
2016-12-03,0.8247232,0.81631577,0.8190299,0.8075373,0.82405895,0.84115267,0.87259406,0.73000085,0.85584533,0.78250897
2016-12-04,0.75941306,0.76419836,0.75755227,0.74714625,0.7914274,0.77853763,0.816869,0.6808027,0.8325259,0.73890203
2016-12-05,0.7497895,0.72872436,0.73756063,0.7045082,0.76596415,0.73788965,0.78837115,0.65924406,0.7787567,0.7016811
2016-12-06,0.74349374,0.7508495,0.7277761,0.70653594,0.7694437,0.7239259,0.7797087,0.67999446,0.7669548,0.7184121
2016-12-07,0.7231246,0.7181909,0.7021389,0.6826556,0.75438535,0.6969429,0.7603136,0.65695035,0.72619414,0.68087274
2016-12-08,0.7132943,0.7414199,0.702519,0.6752453,0.7546113,0.6961344,0.7556351,0.679797,0.71739703,0.70452195
2016-12-09,0.6840637,0.74766594,0.73814946,0.75115216,0.7631432,0.68503034,0.7734829,0.6820934,0.731231,0.69405264
2016-12-10,1.6473043,1.8626962,1.9821806,1.7277697,1.8371515,1.8433092,1.7333498,1.8549604,1.662173,2.0714798
